Hotel_Name,Rating,Comments,No_of_reviews,Price,Gst
FabHotel 52 Ivory,7.2,Good,13 reviews,"₹14,960","+₹2,358 taxes and charges"
FabHotel Golf Elite,7.6,Good,5 reviews,"₹14,964","+₹2,052 taxes and charges"
FabHotel SR 68,7.8,Good,6 reviews,"₹14,964","+₹1,796 taxes and charges"
Treebo Trend Corporate 32 Medanta,8.1,Very Good,47 reviews,"₹15,057","+₹1,807 taxes and charges"
Treebo Trend Coral Tree DLF Phase 1,8.2,Very Good,437 reviews,"₹15,112","+₹1,813 taxes and charges"
FabHotel Rivlet,7.8,Good,164 reviews,"₹15,132","+₹1,816 taxes and charges"
THE AROMA RESIDENCY GURGAON - Sector 47 Corporate Family Friendly,7.7,Good,71 reviews,"₹15,432","+₹1,852 taxes and charges"
Hotel Dayal Regency near Sushant Lok Sector 29 Gurgaon - Couple Friendly,7.5,Good,24 reviews,"₹15,439","+₹1,853 taxes and charges"
"Leaf 9, Cyber City",8.9,Excellent,114 reviews,"₹15,680","+₹1,882 taxes and charges"
FabHotel Oyster Villa,8.1,Very Good,66 reviews,"₹15,840","+₹1,901 taxes and charges"
FabHotel Infinity Stay II,9.2,Wonderful,10 reviews,"₹15,840","+₹1,901 taxes and charges"
FabHotel Elite 46,9.0,Wonderful,8 reviews,"₹15,840","+₹2,381 taxes and charges"
FabExpress JDM Residency,8.3,Very Good,7 reviews,"₹15,840","+₹2,605 taxes and charges"
Treebo Trend Sai Village Gold Souk,8.0,Very Good,22 reviews,"₹15,950","+₹1,914 taxes and charges"
Windchime 331,7.7,Good,16 reviews,"₹16,000","+₹1,920 taxes and charges"
HOTEL ELITE OAK,8.4,Very Good,95 reviews,"₹16,128","+₹1,935 taxes and charges"
FabHotel RR Residency,7.1,Good,26 reviews,"₹16,299","+₹1,956 taxes and charges"
Treebo Trend M2M Residency Sector 46,7.4,Good,122 reviews,"₹16,379","+₹1,965 taxes and charges"
"BedChambers Serviced Apartment, Medicity",9.1,Wonderful,24 reviews,"₹16,380",Additional charges may apply
Skylark Hotel by Gabrian Hotels,7.0,Good,6 reviews,"₹16,560","+₹1,987 taxes and charges"
The N S Residency,9.2,Wonderful,24 reviews,"₹16,627","+₹1,995 taxes and charges"
Treebo Trend Amexx Sector 55,9.5,Exceptional,87 reviews,"₹16,644","+₹1,997 taxes and charges"
Saltstayz Hotel Huda City Center,8.5,Very Good,260 reviews,"₹16,654","+₹1,998 taxes and charges"
FabHotel Golf Course Sapphire,8.6,Excellent,136 reviews,"₹16,716","+₹2,006 taxes and charges"
FabHotel The Residency DLF Galleria,8.5,Very Good,394 reviews,"₹16,808","+₹2,017 taxes and charges"
Treebo Trend Nearmi Bell House,7.2,Good,26 reviews,"₹16,910","+₹2,029 taxes and charges"
Hotel Neven near Sushant Lok Sector 29 Gurgaon - Couple Friendly,7.2,Good,10 reviews,"₹17,082","+₹2,050 taxes and charges"
FabHotel Rallkmas Cyber City,8.6,Excellent,308 reviews,"₹17,280","+₹2,074 taxes and charges"
The Lodgers 2 BHK Serviced Apartment infront of Artemis Hospital Gurgaon,9.7,Exceptional,18 reviews,"₹17,566","+₹2,108 taxes and charges"
SaltStayz Golf Course Road,8.3,Very Good,236 reviews,"₹17,577","+₹2,109 taxes and charges"
Posh Residency Artemis Hospital Road Gurgaon,7.9,Good,162 reviews,"₹17,592","+₹2,111 taxes and charges"
Aadat,9.0,Wonderful,1 review,"₹17,600","+₹2,112 taxes and charges"
The Paras Studio Serviced Apartments-Artemis Hospital Gurgaon,9.9,Exceptional,19 reviews,"₹17,636","+₹2,116 taxes and charges"
Florence By NStay,8.0,Very Good,4 reviews,"₹17,935","+₹2,152 taxes and charges"
"Park Studio DLF Phase 2, Cyber City, Gurgaon",8.3,Very Good,8 reviews,"₹17,993","+₹2,159 taxes and charges"
Olive Service Apartments - Medanta Medicity,8.2,Very Good,31 reviews,"₹17,996","+₹2,160 taxes and charges"
Rosa S.T.A.Y,8.3,Very Good,15 reviews,"₹18,000","+₹2,160 taxes and charges"
Super OYO Townhouse 158 Near Netaji Subhash Marg Near Appu Ghar,8.1,Very Good,67 reviews,"₹18,198","+₹2,440 taxes and charges"
Saltstayz Medanta,8.0,Very Good,7 reviews,"₹18,387","+₹2,206 taxes and charges"
Hotel Flora Inn,8.4,Very Good,145 reviews,"₹18,400","+₹2,208 taxes and charges"
Lime Tree Sector 29 Gurgaon Sushant Lok at Iffco Metro,7.2,Good,303 reviews,"₹18,522","+₹2,223 taxes and charges"
Hotel Starline near Iffco Chowk Metro - Couple Friendly,8.3,Very Good,41 reviews,"₹18,743","+₹2,249 taxes and charges"
Luxury Studio Serviced Apartment Lime Tree Artemis Medanta Sector - 51,8.4,Very Good,58 reviews,"₹18,796","+₹2,256 taxes and charges"
"Big hall for functions, parties loud music allowed",7.7,Good,15 reviews,"₹18,896","+₹2,268 taxes and charges"
Nearmi Hotels Medanta Sector 47 - Gurugram,9.2,Wonderful,5 reviews,"₹18,900","+₹2,268 taxes and charges"
Amahi Inn,9.1,Wonderful,29 reviews,"₹19,008","+₹2,281 taxes and charges"
Hotel Green Wood By Dreamz Hospitality,8.6,Excellent,10 reviews,"₹19,147","+₹2,298 taxes and charges"
S2L Suite Rooms and Studio Near Sohna Road,8.4,Very Good,16 reviews,"₹19,200","+₹2,304 taxes and charges"
Hotel Exotica Leisure Valley,8.2,Very Good,80 reviews,"₹19,200","+₹3,456 taxes and charges"
Hotel Sai Village near Medicity - Couple friendly,7.8,Good,11 reviews,"₹19,200","+₹2,304 taxes and charges"
FabHotel Phoenix Hospitality,7.1,Good,32 reviews,"₹19,356","+₹2,323 taxes and charges"
